result,fighter,opponent,f_kd,o_kd,f_str,o_str,f_td,o_td,f_sub,o_sub,weight_class,method,type,round,time,date,event_url
draw,Dooho Choi,Kyle Nelson,0,0,50,20,0,5,0,0,Featherweight,M-DEC,,3,5:00,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,Serghei Spivac,Derrick Lewis,0,0,12,0,6,0,1,0,Heavyweight,SUB,Arm Triangle,1,3:05,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,Marcin Tybura,Blagoy Ivanov,0,0,40,34,1,0,0,0,Heavyweight,U-DEC,,3,5:00,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,Devin Clark,Da Woon Jung,0,0,39,18,3,1,0,0,Light Heavyweight,U-DEC,,3,5:00,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,HyunSung Park,SeungGuk Choi,0,1,38,20,1,0,3,0,Flyweight,SUB,Rear Naked Choke,3,3:11,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,Rinya Nakamura,Toshiomi Kazama,2,0,11,4,0,0,0,0,Bantamweight,KO/TKO,Punch,1,0:33,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,Anshul Jubli,Jeka Saragih,0,0,38,14,2,0,1,0,Lightweight,KO/TKO,Elbows,2,3:44,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,JunYong Park,Denis Tiuliulin,0,0,25,8,1,0,1,0,Middleweight,SUB,Rear Naked Choke,1,4:05,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,JeongYeong Lee,Yi Zha,0,0,25,24,0,5,0,0,Featherweight,S-DEC,,3,5:00,2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a
win,Ihor Potieria,Mauricio Rua,1,0,21,17,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,4:05,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
