fighter,event_url
Dricus Du Plessis,http://ufcstats.com/event-details/f65a0eb902f9476b
Ilia Topuria,http://ufcstats.com/event-details/f65a0eb902f9476b
Raul Rosas Jr.,http://ufcstats.com/event-details/f65a0eb902f9476b
Jairzinho Rozenstruik,http://ufcstats.com/event-details/f65a0eb902f9476b
Edmen Shahbazyan,http://ufcstats.com/event-details/f65a0eb902f9476b
Chris Curtis,http://ufcstats.com/event-details/f65a0eb902f9476b
Billy Quarantillo,http://ufcstats.com/event-details/f65a0eb902f9476b
TJ Brown,http://ufcstats.com/event-details/f65a0eb902f9476b
Stephen Thompson,http://ufcstats.com/event-details/b23388ff8ac6637b
Rafael Dos Anjos,http://ufcstats.com/event-details/b23388ff8ac6637b
Matheus Nicolau,http://ufcstats.com/event-details/b23388ff8ac6637b
Sergei Pavlovich,http://ufcstats.com/event-details/b23388ff8ac6637b
Roman Dolidze,http://ufcstats.com/event-details/b23388ff8ac6637b
Eryk Anders,http://ufcstats.com/event-details/b23388ff8ac6637b
Phil Rowe,http://ufcstats.com/event-details/b23388ff8ac6637b
Angela Hill,http://ufcstats.com/event-details/b23388ff8ac6637b
Clay Guida,http://ufcstats.com/event-details/b23388ff8ac6637b
Michael Johnson,http://ufcstats.com/event-details/b23388ff8ac6637b
Jonathan Pearce,http://ufcstats.com/event-details/b23388ff8ac6637b
Natan Levy,http://ufcstats.com/event-details/b23388ff8ac6637b
Francis Marshall,http://ufcstats.com/event-details/b23388ff8ac6637b
Kennedy Nzechukwu,http://ufcstats.com/event-details/012fc7cd0779c09a
Waldo Cortes-Acosta,http://ufcstats.com/event-details/012fc7cd0779c09a
Muslim Salikhov,http://ufcstats.com/event-details/012fc7cd0779c09a
Jack Della Maddalena,http://ufcstats.com/event-details/012fc7cd0779c09a
Charles Johnson,http://ufcstats.com/event-details/012fc7cd0779c09a
Jennifer Maia,http://ufcstats.com/event-details/012fc7cd0779c09a
Miles Johns,http://ufcstats.com/event-details/012fc7cd0779c09a
Ricky Turcios,http://ufcstats.com/event-details/012fc7cd0779c09a
Vanessa Demopoulos,http://ufcstats.com/event-details/012fc7cd0779c09a
Brady Hiestand,http://ufcstats.com/event-details/012fc7cd0779c09a
Alex Pereira,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Zhang Weili,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Dustin Poirier,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Chris Gutierrez,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Dan Hooker,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Renato Moicano,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Ryan Spann,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Erin Blanchfield,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Andre Petroski,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Matt Frevola,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Karolina Kowalkiewicz,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Michael Trizano,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Montel Jackson,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d
Amanda Lemos,http://ufcstats.com/event-details/756f45905fb20cb5
Neil Magny,http://ufcstats.com/event-details/756f45905fb20cb5
Shayilan Nuerdanbieke,http://ufcstats.com/event-details/756f45905fb20cb5
Tagir Ulanbekov,http://ufcstats.com/event-details/756f45905fb20cb5
Grant Dawson,http://ufcstats.com/event-details/756f45905fb20cb5
Miranda Maverick,http://ufcstats.com/event-details/756f45905fb20cb5
Mario Bautista,http://ufcstats.com/event-details/756f45905fb20cb5
Polyana Viana,http://ufcstats.com/event-details/756f45905fb20cb5
Johnny Munoz,http://ufcstats.com/event-details/756f45905fb20cb5
Jake Hadley,http://ufcstats.com/event-details/756f45905fb20cb5
Arnold Allen,http://ufcstats.com/event-details/be5aab761c40ef35
Max Griffin,http://ufcstats.com/event-details/be5aab761c40ef35
Waldo Cortes-Acosta,http://ufcstats.com/event-details/be5aab761c40ef35
Tresean Gore,http://ufcstats.com/event-details/be5aab761c40ef35
Khalil Rountree Jr.,http://ufcstats.com/event-details/be5aab761c40ef35
Roman Dolidze,http://ufcstats.com/event-details/be5aab761c40ef35
Marcos Rogerio de Lima,http://ufcstats.com/event-details/be5aab761c40ef35
JunYong Park,http://ufcstats.com/event-details/be5aab761c40ef35
Steve Garcia,http://ufcstats.com/event-details/be5aab761c40ef35
Cody Durden,http://ufcstats.com/event-details/be5aab761c40ef35
Islam Makhachev,http://ufcstats.com/event-details/885e7f70dcac0007
Aljamain Sterling,http://ufcstats.com/event-details/885e7f70dcac0007
